Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C204","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,142.600000,0.000000,bottom
"C205","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,140.700000,0.000000,bottom
"C211","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-27.350000,154.050000,180.000000,bottom
"C218","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,150.650000,180.000000,bottom
"C219","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,132.950000,0.000000,bottom
"C221","2.2uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-15.900000,129.350000,270.000000,bottom
"C222","2.2uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-11.500000,147.800000,90.000000,bottom
"C243","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.150000,147.000000,180.000000,bottom
"C246","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.100000,163.400000,180.000000,bottom
"C247","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-148.850000,147.000000,180.000000,bottom
"C250","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-139.150000,158.100000,0.000000,bottom
"C252","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-157.050000,173.500000,180.000000,bottom
"C256","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-153.350000,173.500000,0.000000,bottom
"C258","220uF","CP_Elec_6.3x4.5",-122.526000,168.510000,270.000000,bottom
"C259","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.350000,175.400000,0.000000,bottom
"C260","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-173.900000,166.050000,270.000000,bottom
"C261","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-173.900000,151.750000,90.000000,bottom
"C262","220uF","CP_Elec_6.3x4.5",-129.638000,168.510000,270.000000,bottom
"C264","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-148.800000,163.400000,0.000000,bottom
"C265","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-152.800000,154.450000,90.000000,bottom
"C266","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-152.800000,150.800000,270.000000,bottom
"C267","10uf Tantalum","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",-126.100000,143.437500,270.000000,bottom
"C268","10uf Tantalum","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",-134.500000,149.737500,270.000000,bottom
"D1","SM4007PL","D_SOD-123F",14.300000,100.400000,270.000000,bottom
"D2","SM4007PL","D_SOD-123F",-3.700000,100.400000,270.000000,bottom
"D3","SM4007PL","D_SOD-123F",-21.700000,100.400000,270.000000,bottom
"D4","SM4007PL","D_SOD-123F",-39.700000,100.400000,270.000000,bottom
"D5","SM4007PL","D_SOD-123F",-57.700000,100.400000,270.000000,bottom
"D6","SM4007PL","D_SOD-123F",-75.700000,100.400000,270.000000,bottom
"D7","SM4007PL","D_SOD-123F",-93.700000,100.400000,270.000000,bottom
"D8","SM4007PL","D_SOD-123F",-111.700000,100.400000,270.000000,bottom
"D9","SM4007PL","D_SOD-123F",-129.700000,100.400000,270.000000,bottom
"D10","SM4007PL","D_SOD-123F",-147.700000,100.400000,270.000000,bottom
"D11","SM4007PL","D_SOD-123F",-165.700000,100.400000,270.000000,bottom
"D12","SM4007PL","D_SOD-123F",-183.700000,100.400000,270.000000,bottom
"D13","SM4007PL","D_SOD-123F",-201.700000,100.400000,270.000000,bottom
"D14","SM4007PL","D_SOD-123F",-219.700000,100.400000,270.000000,bottom
"D15","SM4007PL","D_SOD-123F",-237.700000,100.400000,0.000000,bottom
"D16","SM4007PL","D_SOD-123F",-255.700000,100.410000,270.000000,bottom
"D17","SM4007PL","D_SOD-123F",-12.700000,115.900000,270.000000,bottom
"D18","SM4007PL","D_SOD-123F",-30.700000,115.900000,270.000000,bottom
"D19","SM4007PL","D_SOD-123F",-66.700000,115.900000,270.000000,bottom
"D20","SM4007PL","D_SOD-123F",-84.700000,115.900000,270.000000,bottom
