Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R221","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.150000,78.600000,180.000000,bottom
"R222","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.850000,82.400000,0.000000,bottom
"R223","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.850000,80.500000,0.000000,bottom
"R224","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.150000,80.500000,0.000000,bottom
"R225","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.850000,78.600000,0.000000,bottom
"R226","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.500000,68.550000,180.000000,bottom
"R227","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.500000,66.650000,180.000000,bottom
"R228","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.125000,76.625000,0.000000,bottom
"R229","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.150000,82.400000,180.000000,bottom
"R230","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.000000,76.625000,180.000000,bottom
"R231","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,48.600000,0.000000,bottom
"R232","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,76.100000,0.000000,bottom
"R233","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.500000,57.650000,0.000000,bottom
"R234","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,83.350000,0.000000,bottom
"R235","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,50.650000,0.000000,bottom
"R236","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,78.000000,0.000000,bottom
"R237","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,57.650000,180.000000,bottom
"R238","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,85.250000,0.000000,bottom
"SW48","SW_DIP_x02","SW_DIP_SPSTx02_Slide_HRO_EP-02KS",76.650000,61.750000,180.000000,bottom
"SW49","SW_SP3T (DP3T Parallel)","SW_SP3T_CK-JS203011JCQN",21.400000,73.000000,0.000000,bottom
"SW201","5.2x5.2x1.5mm","SW_SPST_5.2x5.2x1.5mm",67.700000,28.250000,270.000000,bottom
"SW202","SW_DIP_x02","SW_DIP_SPSTx02_Slide_HRO_EP-02KS",76.650000,67.500000,180.000000,bottom
"U1","SN74LV1T34_SOT-23_A","SOT-23-5_HandSoldering",21.600000,15.650000,270.000000,bottom
"U2","TPS22918_SOT23-6_A","SOT-23-6",6.200000,39.100000,90.000000,bottom
"U3","LTC3112_TSSOP20_A","TSSOP-20_FE_CA",9.700000,56.900000,270.000000,bottom
"U4","MP2359","TSOT-23-6_HandSoldering",23.875000,34.900000,0.000000,bottom
"U5","TPS22918_SOT23-6_A","SOT-23-6",78.300000,36.100000,270.000000,bottom
"U201","6N137","DIP-8_W8.89mm_SMDSocket_LongPads",63.050000,73.275000,270.000000,bottom
"U202","STM32F407VGTx","LQFP-100_14x14mm_P0.5mm",50.000000,46.500000,270.000000,bottom
"U204","SRV05-4","SOT-23-6",39.000000,71.500000,270.000000,bottom
"U205","SN74HC14","SOIC-14_3.9x8.7mm_P1.27mm",74.500000,73.900000,180.000000,bottom
"U207","WM8731","TSSOP-28_4.4x9.7mm_P0.65mm",174.750000,60.300000,90.000000,bottom
"U208","AMS1117-3.3","SOT-223-3_TabPin2",158.700000,50.200000,270.000000,bottom
"Y201","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",66.650000,45.000000,90.000000,bottom
"Y202","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm_HandSoldering",65.900000,52.750000,270.000000,bottom
"Y203","12.288MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",184.300000,56.200000,270.000000,bottom
